Time,Temperature,Humidity,Wind Speed,Pressure,Precip.,Condition,Date
0,37,93,16,29.9,0,Cloudy,2017-01-01
1,37,93,17,29.9,0,Cloudy,2017-01-01
2,37,89,14,29.9,0,Cloudy,2017-01-01
3,36,89,14,29.9,0,Cloudy,2017-01-01
4,38,79,15,30,0,Mostly Cloudy,2017-01-01
5,40,70,15,30,0,Partly Cloudy,2017-01-01
6,42,60,20,30,0,Mostly Cloudy,2017-01-01
7,42,55,17,30.1,0,Mostly Cloudy,2017-01-01
8,42,51,23,30.1,0,Fair - Windy,2017-01-01
9,43,45,22,30.1,0,Fair - Windy,2017-01-01
10,44,42,16,30.1,0,Fair,2017-01-01
11,43,43,21,30.1,0,Fair - Windy,2017-01-01
12,42,43,12,30.2,0,Fair,2017-01-01
13,40,47,10,30.2,0,Fair,2017-01-01
14,41,45,9,30.3,0,Fair,2017-01-01
15,38,51,8,30.3,0,Fair,2017-01-01
16,37,52,12,30.4,0,Fair,2017-01-01
17,37,52,8,30.4,0,Fair,2017-01-01
18,35,59,8,30.4,0,Fair,2017-01-01
19,35,59,7,30.4,0,Partly Cloudy,2017-01-01
20,33,66,7,30.4,0,Fair,2017-01-01
21,33,66,7,30.4,0,Fair,2017-01-01
22,32,69,3,30.5,0,Cloudy,2017-01-01
23,30,75,0,30.5,0,Partly Cloudy,2017-01-01
0,29,78,0,30.5,0,Cloudy,2017-01-02
1,31,76,0,30.5,0,Cloudy,2017-01-02
2,31,79,0,30.5,0,Mostly Cloudy,2017-01-02
3,29,82,3,30.5,0,Mostly Cloudy,2017-01-02
4,30,85,5,30.5,0,Mostly Cloudy,2017-01-02
5,32,82,3,30.5,0,Cloudy,2017-01-02
6,36,67,7,30.6,0,Mostly Cloudy,2017-01-02
7,38,65,0,30.6,0,Mostly Cloudy,2017-01-02
8,40,65,0,30.5,0,Mostly Cloudy,2017-01-02
9,40,63,0,30.5,0,Cloudy,2017-01-02
10,40,60,0,30.5,0,Cloudy,2017-01-02
11,39,65,3,30.5,0,Cloudy,2017-01-02
12,40,70,5,30.5,0,Mostly Cloudy,2017-01-02
13,40,77,8,30.5,0,Cloudy,2017-01-02
14,39,82,8,30.5,0,Cloudy,2017-01-02
15,40,83,9,30.5,0,Cloudy,2017-01-02
16,40,83,7,30.4,0,Cloudy,2017-01-02
17,40,83,7,30.4,0,Cloudy,2017-01-02
18,41,79,8,30.4,0,Cloudy,2017-01-02
19,41,79,10,30.4,0,Light Rain,2017-01-02
20,41,82,12,30.3,0,Cloudy,2017-01-02
20,41,82,12,30.3,0,Cloudy,2017-01-02
21,41,82,13,30.3,0,Cloudy,2017-01-02
22,41,86,10,30.3,0,Cloudy,2017-01-02
23,41,86,8,30.3,0,Cloudy,2017-01-02
0,41,89,12,30.3,0,Cloudy,2017-01-03
1,41,93,16,30.3,0,Cloudy,2017-01-03
2,41,93,17,30.3,0,Cloudy,2017-01-03
3,43,81,18,30.2,0,Cloudy,2017-01-03
4,42,85,21,30.2,0,Cloudy - Windy,2017-01-03
5,41,89,20,30.2,0,Light Rain,2017-01-03
6,40,97,18,30.2,0,Light Rain,2017-01-03
7,41,96,17,30.1,0,Light Rain,2017-01-03
8,41,100,21,30.1,0,Light Rain - Windy,2017-01-03
9,41,100,20,30,0,Light Rain,2017-01-03
10,42,96,20,29.9,0,Light Rain,2017-01-03
11,42,100,18,29.9,0,Light Rain,2017-01-03
12,42,100,22,29.9,0,Light Rain - Windy,2017-01-03
13,42,100,22,29.8,0.1,Rain - Windy,2017-01-03
14,43,100,24,29.7,0.1,Light Rain - Windy,2017-01-03
15,43,100,21,29.7,0.1,Rain - Windy,2017-01-03
16,44,100,18,29.6,0.3,Heavy Rain,2017-01-03
17,43,100,20,29.6,0.1,Light Rain,2017-01-03
18,43,100,20,29.5,0,Light Rain,2017-01-03
19,43,100,21,29.4,0,Light Rain - Windy,2017-01-03
20,43,100,21,29.4,0,Light Rain - Windy,2017-01-03
21,44,100,13,29.3,0,Fog,2017-01-03
22,44,100,8,29.3,0,Fog,2017-01-03
23,43,100,8,29.3,0,Light Rain,2017-01-03
0,38,100,13,29.3,0,Fog,2017-01-04
1,37,100,9,29.3,0,Cloudy,2017-01-04
2,37,96,12,29.4,0,Cloudy,2017-01-04
